cluster,weekday,time,Delay Sensitive,Delay Stringent,Delay Tolerant
0,Mon,00:00,161134.94133231335,2985.1943779016633,305436.9597358875
0,Mon,00:20,124344.55273994849,1947.4745365327842,299391.431122051
0,Mon,00:40,135436.63335256182,2032.751185192535,283645.7278475509
0,Mon,01:00,116589.48828704157,840.7580749212393,271666.00483283226
0,Mon,01:20,134842.49996863678,937.6415489859049,289083.74449388596
0,Mon,01:40,112600.82401953705,2269.1007799728136,294900.36589324777
0,Mon,02:00,107287.55016047196,315.7844981053499,252645.44267602553
0,Mon,02:20,86713.41272726067,451.1121878936879,235053.42351891065
0,Mon,02:40,88693.01668602985,587.8263629945931,239246.00743298788
0,Mon,03:00,82834.21954071343,1160.7555991911138,220608.737960739
0,Mon,03:20,93959.53694585145,590.5812023278166,235016.49751479764
0,Mon,03:40,86799.40870741942,394.2335972906452,249571.73657390423
0,Mon,04:00,100854.25776819946,1205.892187818028,259942.79644418918
0,Mon,04:20,120316.5795648752,819.4476607889243,276134.8088623162
0,Mon,04:40,114725.99202961872,2586.7906801089384,282267.8216530435
0,Mon,05:00,147958.61823348713,2040.93251277048,350799.2231397542
0,Mon,05:20,181120.4591528201,2190.17554737125,415172.4332079548
0,Mon,05:40,172053.940187735,3784.7131403197004,421855.0945418679
0,Mon,06:00,193431.69266727052,7194.657107165806,462676.68512363295
0,Mon,06:20,219667.97416726945,7641.698521604736,562355.0480181451
0,Mon,06:40,231365.9982811031,11814.987466492124,571782.7164844701
0,Mon,07:00,259912.35559214637,17524.4409243561,647444.9499870581
0,Mon,07:20,236456.98334657509,21131.908270528904,669123.7089311681
0,Mon,07:40,235323.88498490863,27178.847132208433,595276.7513010205
0,Mon,08:00,262376.7604282741,34780.772782584005,642160.082568563
0,Mon,08:20,245306.30447900185,34051.561610940065,682844.8742377341
0,Mon,08:40,262886.47683886986,27483.213987908475,665365.3346784974
0,Mon,09:00,262344.2650765498,26486.30307974963,659122.4480851474
0,Mon,09:20,264142.27644822164,29792.99000961555,689875.4165938629
0,Mon,09:40,244064.2889389051,21881.098683261414,636539.4271654284
0,Mon,10:00,270013.8566516524,19970.74701106133,698486.8653066882
0,Mon,10:20,318129.5802186266,20926.561770453245,706705.7088871547
0,Mon,10:40,315799.84177926724,13434.017092692473,696227.1149491243
0,Mon,11:00,315211.37416886695,19585.639113105284,728749.8926598383
0,Mon,11:20,315929.61052896257,16636.354195506017,748019.3751072318
0,Mon,11:40,318591.62113519944,18698.664105789572,708850.5835310343
0,Mon,12:00,292379.3615270817,25379.880543920106,761307.0247502474
0,Mon,12:20,298290.44718515547,25664.8091739083,780759.1264704166
0,Mon,12:40,305488.7193286348,20836.574455998227,701375.6852109925
0,Mon,13:00,306713.34396026755,29047.318370847166,750672.8344525726
0,Mon,13:20,323182.0638809272,23938.40714010624,668399.0834159992
0,Mon,13:40,280929.5109158167,21274.776094974128,596936.0063917922
0,Mon,14:00,304123.16339203995,30332.66727143292,760349.6805115559
0,Mon,14:20,329435.92683661665,21411.05616415615,797091.4374053923
0,Mon,14:40,304761.68883957434,23188.254023613383,848323.6493269253
0,Mon,15:00,386358.7437719272,24371.216046219044,769477.438480959
0,Mon,15:20,306049.3815917608,19342.637287098638,759951.007111917
0,Mon,15:40,345898.39380944386,18944.104570500993,730964.6464711543
0,Mon,16:00,336929.2359442645,17989.09381028256,738978.1143500421
0,Mon,16:20,321701.34287772846,12951.318030595474,726260.4239478725
0,Mon,16:40,327869.4298263541,13881.121734662824,745692.2921011645
0,Mon,17:00,353417.32166616915,12517.71938373161,724970.2255365344
0,Mon,17:20,318129.22307956533,9416.217510768496,646261.7392594101
0,Mon,17:40,278820.84952132375,12625.995660157596,582564.7806551073
0,Mon,18:00,369098.270305194,14866.120805625134,709779.0910964665
0,Mon,18:20,333510.5699048305,14222.810022971818,659758.9247915741
0,Mon,18:40,279577.4334498055,13428.7591571348,612750.0345372269
0,Mon,19:00,322207.6908236563,11240.809738886222,653114.1385925264
0,Mon,19:20,347715.67619436776,10740.175303693324,625146.8548220182
0,Mon,19:40,337560.2074504024,12244.005887886833,593166.5226178399
0,Mon,20:00,347047.0055557206,14300.671263212766,596052.8178264722
0,Mon,20:20,320099.39764432725,13248.32184821933,580436.1534710783
0,Mon,20:40,319630.0686438275,10999.776886546213,515417.14231251914
0,Mon,21:00,310574.5251983022,12497.609173717987,575616.3137061726
0,Mon,21:20,256778.0667553789,11615.140028126367,537864.2912823756
0,Mon,21:40,271859.9074146896,10447.517907652771,524872.5880182474
